Title,Media,Date,Link
"Harga Beras Mahal Lampaui HET Meski Stok Melimpah, Kok Bisa?",MSN,minggu lalu,https://www.msn.com/id-id/berita/other/harga-beras-mahal-lampaui-het-meski-stok-melimpah-kok-bisa/ar-AA1DumPV%3Fapiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1&ved=2ahUKEwjkm7-yxtCRAxVA9zgGHa87JlYQxfQBegQIBxAC&usg=AOvVaw2nNgN2bYEdkrOycLcuDKEy
"Harga Beras di Sumatera Barat Paling Mahal di Indonesia (Jumat, 5 Desember 2025)",Databoks,minggu lalu,https://databoks.katadata.co.id/ekonomi-makro/statistik/7489ab2f1a743b2/harga-beras-di-sumatera-barat-paling-mahal-di-indonesia-jumat-5-desember-2025&ved=2ahUKEwjkm7-yxtCRAxVA9zgGHa87JlYQxfQBegQICBAC&usg=AOvVaw3CBU6OnqubC3T5SdXDqgTq
"Harga Beras Kualitas Bawah I di Lampung Paling Mahal di Indonesia (Selasa, 2 Desember 2025)",Databoks,minggu lalu,https://databoks.katadata.co.id/ekonomi-makro/statistik/58d00504667e2fa/harga-beras-kualitas-bawah-i-di-lampung-paling-mahal-di-indonesia-selasa-2-desember-2025&ved=2ahUKEwjkm7-yxtCRAxVA9zgGHa87JlYQxfQBegQIBBAC&usg=AOvVaw39nrTvoEJSpWifmXNRN5as
"BPS: Harga Beras Turun, Tapi Masih Mahal Ketimbang Tahun Lalu",Bloomberg Technoz,minggu lalu,https://www.bloombergtechnoz.com/detail-news/92032/bps-harga-beras-turun-tapi-masih-mahal-ketimbang-tahun-lalu&ved=2ahUKEwjkm7-yxtCRAxVA9zgGHa87JlYQxfQBegQIARAC&usg=AOvVaw1fnGd5xiKl1LeHtDQwRbQn
Harga Beras di 37 Daerah Masih Mahal,detikFinance,minggu lalu,https://finance.detik.com/berita-ekonomi-bisnis/d-8234453/harga-beras-di-37-daerah-masih-mahal&ved=2ahUKEwjkm7-yxtCRAxVA9zgGHa87JlYQxfQBegQIBRAC&usg=AOvVaw2T7NIBaT35lszPFNpmLfuA
Disperindag-Palu Sebut Stok Cabai dan Bawang Terpenuhi Jelang Natal,Media Indonesia,6 jam yang lalu,https://mediaindonesia.com/nusantara/842727/disperindag-palu-sebut-stok-cabai-dan-bawang-terpenuhi-jelang-natal&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQIARAC&usg=AOvVaw2vXIZXvEyS9u-pIofMwjev
"Harga Bawang dan Cabai di Kupang Melonjak, Pemerintah Belum Lakukan Intervensi",Kompas.id,1 hari lalu,https://www.kompas.id/artikel/harga-bawang-dan-cabai-di-kupang-melonjak-pemerintah-sulit-intervensi&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQIAhAC&usg=AOvVaw3hqhG9hzQkT3dQsxAIqufi
Disperindag Palu pastikan stok cabai dan bawang terpenuhi jelang Natal,ANTARA News Sulteng,2 hari lalu,https://sulteng.antaranews.com/berita/369628/disperindag-palu-pastikan-stok-cabai-dan-bawang-terpenuhi-jelang-natal&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQIChAC&usg=AOvVaw23BFqYk5xV2S2lH4WRv0K2
Ketergantungan Pasokan Luar Picu Lonjakan Harga Bawang Merah,RRI.co.id,2 hari lalu,https://rri.co.id/nunukan/inflasi/2052544/ketergantungan-pasokan-luar-picu-lonjakan-harga-bawang-merah&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQICRAC&usg=AOvVaw2MxNA-yOrrFN8ysOWmkvUT
Gubernur memastikan stok pangan di Sulbar jelang akhir tahun aman,ANTARA News Makassar,3 hari lalu,https://makassar.antaranews.com/berita/616285/gubernur-memastikan-stok-pangan-di-sulbar-jelang-akhir-tahun-aman&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQIBxAC&usg=AOvVaw22mHg60fq1iM72B7GFDyrx
"Gubernur Suhardi Duka: Harga Bawang Merah dan Ayam Naik, Butuh Intervensi",Sulawesi Barat,3 hari lalu,https://berita.sulbarprov.go.id/index.php/kegiatan/item/11493-gubernur-suhardi-duka-harga-bawang-merah-dan-ayam-naik-butuh-intervensi&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQICBAC&usg=AOvVaw30bx1fUCvSJosHzQKAPjiB
"Gubernur Sulbar Pastikan Stok Pangan Aman, Harga Bawang Merah dan Ayam Naik",Editorial9.com,3 hari lalu,https://editorial9.com/gubernur-sulbar-pastikan-stok-pangan-aman-harga-bawang-merah-dan-ayam-naik/&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQIBhAC&usg=AOvVaw3-8nzqoYna-XFGXXPRz-dn
Update Pasar: Harga Bawang Merah Melejit di Pasar Kamis Tapa,Gorontalo Post,3 hari lalu,https://gorontalopost.co.id/2025/12/18/update-pasar-harga-bawang-merah-melejit-di-pasar-kamis-tapa/&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQIBRAC&usg=AOvVaw2ka8VBzCb5OwnTQjYrxgYa
"Harga Bawang Merah dan Ayam Naik Jelang Nataru, Gubernur Sulbar SDK Sebut Perlu Intervensi",Tribun-sulbar.com,3 hari lalu,https://sulbar.tribunnews.com/mamuju/73475/harga-bawang-merah-dan-ayam-naik-jelang-nataru-gubernur-sulbar-sdk-sebut-perlu-intervensi&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQIBBAC&usg=AOvVaw3GwMsUALCfEh5Zsli9q43G
"Harga Cabe dan Bawang Merah Turun Jelang Nataru di Jembrana Bali, Stok Bapok Masih Aman",Tribun-bali.com,4 hari lalu,https://bali.tribunnews.com/jembrana/587723/harga-cabe-dan-bawang-merah-turun-jelang-nataru-di-jembrana-bali-stok-bapok-masih-aman&ved=2ahUKEwio8-CyxtCRAxWNyDgGHe0iECEQxfQBegQIAxAC&usg=AOvVaw3311Dp---ea5gudlsPtB0U
